,train_loss,test_loss
0,0.7291816863257562,0.5256575019496261
1,0.42391181106457626,0.35066049550748934
2,0.3068644970731662,0.27614046376981555
3,0.2526411091542,0.23565827120261587
4,0.2217245605176367,0.20956437413100223
5,0.20135686072089787,0.192303313381353
6,0.18646386772622842,0.17850694250149332
7,0.17501972484238007,0.1673710648041622
8,0.1657166350680544,0.15948684304762797
9,0.15801653833797827,0.15243455397475297
10,0.1513785656417727,0.14626487857027418
11,0.14576037993173466,0.14028526738191108
12,0.14071847254510425,0.13582210166818776
13,0.1362665112480483,0.13193224474882623
14,0.13232096224604056,0.12785108529838027
15,0.1286492574188258,0.12401487270168438
16,0.12533593545560642,0.12100354396993188
17,0.122354947249679,0.1177858575988727
18,0.11955478951296843,0.11538036476085141
19,0.11693978429679065,0.11288397811400662
20,0.11453318552059286,0.11025500041284379
21,0.11231498862318981,0.10794118027778188
22,0.11016193699196476,0.10632340633755277
23,0.10811660959935554,0.10416822443911984
24,0.10630936825366887,0.10220397192581444
25,0.10453331239921662,0.10046409402683282
26,0.10278490833614183,0.0988913107734577
27,0.10116666611617484,0.09712808014480931
28,0.09969487057431885,0.09600532519969211
29,0.09821005442829998,0.09389430839734472
