,train_loss,test_loss
0,1.8184619393495038,1.7569565666708977
1,1.7027589901329,1.647453462242321
2,1.5953492417055017,1.5440032269544661
3,1.49750108395696,1.452069612065698
4,1.4101665305054707,1.3747623946256697
5,1.3335144873470297,1.2977449278922597
6,1.2672736640171627,1.2364493380686281
7,1.2108487935017442,1.1858958613341022
8,1.1633685124499717,1.1435031025273026
9,1.1235709330614876,1.10622435922076
10,1.0904513408460885,1.0761337895302256
11,1.062802465675432,1.051402103369403
12,1.0397319615344562,1.0308048292330116
13,1.0204803640275355,1.012333595448998
14,1.0042277005170008,0.9975045983958396
15,0.9904896379889124,0.9832202310015441
16,0.9788033118485795,0.973175297117537
17,0.9688039760455451,0.9652170724929519
18,0.9601792442371778,0.9565944515975418
19,0.9527007015922185,0.9481879142439289
20,0.9462271166579498,0.9435775883638176
21,0.9404988434461071,0.9387150224606702
22,0.9354857905289097,0.9335498395998767
23,0.931021133880786,0.9284790162068264
24,0.9270398753988164,0.9256518988092993
25,0.923505813569364,0.921395199693692
26,0.9203196505603888,0.9187551926655374
27,0.9174158311713382,0.9159803732185606
28,0.9148098638143076,0.9133213500308383
29,0.912412800523631,0.9109244266892694
