,train_loss,test_loss
0,0.5839942711241105,0.36996872087193144
1,0.30061721959915916,0.26056668693852275
2,0.23249979221912295,0.21321281990048233
3,0.19861365841401507,0.18652554321440923
4,0.17737065234681224,0.1686392952302459
5,0.16282901632816285,0.15521874691650367
6,0.1522050066791532,0.14550012293135284
7,0.14398666901890275,0.13839037630968032
8,0.13746417856887175,0.1323299856417498
9,0.13215912567913685,0.1269918811643959
10,0.12756259601248804,0.12261215644847055
11,0.12353558170482935,0.1189203141791046
12,0.12015499025011611,0.11542175406483328
13,0.11695474693956583,0.112337000573137
14,0.11417138891871018,0.10930079814924556
15,0.11163231141655647,0.10688705590500194
16,0.10918552655240764,0.10466111664939079
17,0.10703106694247412,0.10237549150445659
18,0.10505227422546548,0.10055252088672796
19,0.10316884366180891,0.0985768315898385
20,0.10137057011885106,0.0968314191907834
21,0.09969073147191417,0.09506263797450218
22,0.09821499875553734,0.09372547045824633
23,0.09672254307762436,0.09194794771777597
24,0.09526338877008698,0.09062588347750865
25,0.09401865036743681,0.0893496862452501
26,0.09274157849342926,0.08814746274310313
27,0.09158300044362808,0.08691727023595458
28,0.09030257435062962,0.0859419041947954
29,0.08922132839212941,0.08458620784388986
